Hour;Total_Consumption
581;2.5870833333333336
582;4.0275
583;2.6370833333333334
584;1.2479166666666668
585;0.5150000000000001
586;0.5408333333333332
587;0.5504166666666666
588;0.5529166666666666
589;2.217916666666667
590;2.2654166666666664
591;1.2583333333333333
592;0.45916666666666667
593;0.43458333333333327
594;0.6825
595;1.7820833333333335
596;1.7075
597;1.1358333333333333
598;0.7991666666666666
599;0.9087500000000001
600;0.585
601;0.5479166666666666
602;0.5425
603;0.5349999999999999
604;0.5504166666666667
605;1.9187500000000004
606;1.78
607;1.8229166666666667
608;1.3141666666666667
609;0.4441666666666666
610;0.4366666666666667
611;0.4416666666666667
612;0.45208333333333334
613;0.4670833333333334
614;0.4525
615;0.4429166666666666
616;0.4429166666666666
617;7.922916666666667
618;8.602916666666667
619;7.477083333333333
620;4.2299999999999995
621;0.6887500000000001
622;0.6625
623;0.63
624;0.6220833333333332
625;0.6295833333333333
626;0.6258333333333334
627;0.625
628;0.6104166666666666
629;0.69125
630;1.143333333333333
631;1.1366666666666665
632;0.8187499999999999
633;0.5225
634;0.6900000000000001
635;0.6875000000000001
636;0.5716666666666668
637;0.5645833333333335
638;0.6666666666666667
639;0.8995833333333333
640;3.9945833333333334
641;4.1274999999999995
642;0.8887499999999999
643;0.8854166666666666
644;1.8983333333333334
645;7.78625
646;7.213333333333333
647;6.010416666666667
648;1.1616666666666666
649;0.5408333333333334
650;0.54
651;0.5404166666666667
652;0.5541666666666667
653;0.5533333333333333
654;0.6379166666666668
655;1.01875
656;1.5216666666666667
657;1.5699999999999998
658;0.7454166666666668
659;0.5020833333333333
660;0.5199999999999999
661;0.6845833333333332
662;2.7191666666666667
663;1.5025000000000002
664;7.458333333333332
665;5.281666666666666
666;1.4508333333333334
667;1.385
668;1.1866666666666665
669;0.7654166666666666
670;0.5916666666666667
671;0.6312500000000001
672;0.6074999999999999
673;0.5733333333333333
674;0.5758333333333334
675;0.5766666666666667
676;0.57875
677;1.3712499999999999
678;3.877916666666667
679;2.6845833333333333
680;1.4462499999999998
681;1.0141666666666667
682;1.0199999999999998
683;1.0370833333333334
684;1.0341666666666667
685;1.032083333333333
686;4.175416666666667
687;6.895416666666667
688;6.687916666666665
689;6.635416666666667
690;4.495416666666666
691;0.8816666666666667
692;1.3370833333333334
693;1.2954166666666667
694;0.6058333333333333
695;0.5379166666666667
696;0.5287499999999999
697;0.5241666666666667
698;0.5391666666666667
699;0.5375000000000001
700;1.0645833333333334
701;2.4020833333333336
702;2.404583333333333
703;1.5162499999999999
704;3.0925000000000002
705;2.9274999999999998
706;2.9445833333333336
707;3.3612500000000005
708;3.3204166666666666
709;4.4833333333333325
710;4.814166666666667
711;2.7758333333333334
712;0.9045833333333333
713;4.161666666666666
714;8.967083333333333
715;7.29875
716;2.2033333333333336
717;1.0887499999999999
718;0.59375
719;0.6583333333333333
720;0.56125
721;0.5470833333333334
722;0.5295833333333333
723;0.5366666666666667
724;0.5716666666666667
725;2.71875
726;2.014166666666667
727;2.0845833333333332
728;1.3470833333333332
729;0.8883333333333332
730;0.84875
731;0.8454166666666667
732;0.8791666666666667
733;0.8741666666666665
734;0.865
735;0.8420833333333332
736;1.3045833333333334
737;1.8733333333333335
738;2.048333333333334
739;1.6304166666666668
740;1.1250000000000002
741;0.87125
742;0.7408333333333333
743;0.7079166666666666
